iter	Passed	Remaining
920	20741	1779
921	20764	1756
922	20783	1733
923	20802	1711
924	20820	1688
925	20844	1665
926	20868	1643
927	20895	1621
928	20917	1598
929	20937	1575
930	20955	1553
931	20973	1530
932	20992	1507
933	21011	1484
934	21029	1461
935	21052	1439
936	21073	1416
937	21094	1394
938	21114	1371
939	21134	1348
940	21153	1326
941	21170	1303
942	21189	1280
943	21208	1258
944	21227	1235
945	21244	1212
946	21265	1190
947	21287	1167
948	21309	1145
949	21330	1122
950	21350	1100
951	21367	1077
952	21385	1054
953	21403	1032
954	21424	1009
955	21443	986
956	21464	964
957	21490	942
958	21512	919
959	21535	897
960	21555	874
961	21575	852
962	21595	829
963	21616	807
964	21637	784
965	21658	762
966	21683	739
967	21705	717
968	21724	694
969	21745	672
970	21765	650
971	21795	627
972	21817	605
973	21837	582
974	21857	560
975	21878	538
976	21904	515
977	21926	493
978	21948	470
979	21966	448
980	21984	425
981	22002	403
982	22021	380
983	22042	358
984	22062	335
985	22086	313
986	22108	291
987	22129	268
988	22148	246
989	22166	223
990	22187	201
991	22206	179
992	22224	156
993	22254	134
994	22278	111
995	22305	89
996	22326	67
997	22347	44
998	22365	22
999	22383	0
